26100,962,44,-1
26200,961,36,-1
26300,959,38,-1
26400,958,35,-1
26500,962,35,-1
26600,959,42,-1
26700,959,41,-1
26800,967,39,-1
26900,966,38,-1
27000,964,40,-1
27100,961,39,-1
27200,962,36,-1
27300,966,39,-1
27400,962,34,-1
27500,963,41,-1
27600,960,39,-1
27700,960,38,-1
27800,964,42,-1
27900,967,38,-1
28000,961,35,-1
28100,964,43,-1
28200,965,39,-1
28300,961,34,-1
28400,965,38,-1
28500,967,38,-1
28600,959,38,-1
28700,962,43,-1
28800,966,45,-1
28900,962,42,-1
29000,959,37,-1
29100,963,34,-1
29200,959,38,-1
29300,962,43,-1
29400,963,37,-1
29500,966,39,-1
29600,964,39,-1
29700,961,40,-1
29800,963,36,-1
29900,962,44,-1
30000,967,37,-1
30100,961,40,-1
30200,964,38,-1
30300,963,34,-1
30400,964,38,-1
30500,965,37,-1
30600,963,38,-1
30700,960,36,-1
30800,965,40,-1
30900,960,38,-1
31000,959,34,-1
31100,959,42,-1
31200,960,43,-1
31300,964,38,-1
31400,963,42,-1
31500,963,36,-1
31600,961,35,-1
31700,963,37,-1
31800,962,36,-1
31900,958,40,-1
32000,963,39,-1
32100,961,33,-1
32200,968,38,-1
32300,961,37,-1
32400,965,36,-1
32500,963,40,-1
32600,962,47,-1
32700,966,34,-1
32800,962,34,-1
32900,966,38,-1
33000,961,35,-1
33100,960,45,-1
33200,961,35,-1
33300,960,40,-1
33400,962,38,-1
33500,961,42,-1
33600,963,33,-1
33700,961,36,-1
33800,960,32,-1
33900,963,40,-1
34000,966,44,-1
34100,963,37,-1
34200,966,36,-1
34300,959,37,-1
34400,963,38,-1
34500,963,41,-1
34600,962,35,-1
34700,958,37,-1
34800,963,37,-1
34900,963,42,-1
35000,966,40,-1
35100,964,39,-1
35200,963,37,-1
35300,965,39,-1
35400,964,42,-1
35500,962,40,-1
35600,964,39,-1
35700,959,37,-1
35800,959,35,-1
35900,968,35,-1
36000,970,38,-1
36100,966,37,-1
36200,959,38,-1
36300,965,41,-1
36400,964,30,-1
36500,967,33,-1
36600,960,35,-1
36700,956,38,-1
